customer_id;as_of_date;region_name;age;age_band;marital_status;customer_tenure_months;multi_policy_flag;num_policies;policy_type;renewal_month;current_premium;premium_last_year;premium_change_pct;num_price_increases_last_3y;coverage_amount;premium_to_coverage_ratio;payment_frequency;autopay_enabled;late_payment_count_12m;missed_payment_flag;payment_method_change_flag;num_claims_12m;num_approved_claims_12m;num_rejected_claims_12m;num_pending_claims_12m;avg_claim_amount;total_claim_amount_12m;total_payout_amount_12m;payout_ratio_12m;avg_settlement_time_days;days_since_last_claim;num_contacts_12m;complaint_flag;complaint_resolution_days;quote_requested_flag;coverage_downgrade_flag;churn_flag;churn_type;churn_probability_true;gender;year_of_birth;job;pep_flag;sensitive_flag;policy_number;product_name;product_group;pol_issue_date;pol_expiry_date;pol_termination_date;pol_term_months;final_api;policy_payment_method;policy_status;final_status;churned_segment;index_linking;index_linking_pct;total_withdrawal_amount;premiums_count;total_due_amount;total_paid_amount;paid_count;payment_inconsistency;sum_due_days
28772;2025-12-31;Beheira;61;55-64;Married;119;0;1;Health;2;1811.64;1743.93;0.0426;3;195251.41;0.00927848;Monthly;1;1;0;0;0;0;0;0;6228.28;0;0;0.8;26;963;2;1;18;0;0;0;No churn;0.399557;Female;1964;Diplomat;0;0;100028772;Elite ELI;Single Premium;2016-01-31;2036-01-31;;240;1811.64;Direct Debit;In Force;Not Churned;Not Churned;None;;5211;119;17965;17965;119;1;19
28773;2025-12-31;New Valley;70;65-74;Single;152;0;1;Life;7;762.92;746.97;	-0.0051;1;301725.3;0.00252853;Monthly;1;1;0;0;0;0;0;0;12470.12;0;0;0.85;9;1459;0;0;0;1;0;0;No churn;0.36015;Male;1955;Driver;0;0;100028773;Protection & Savings - Retirement 10+;Retirement;2013-04-30;2018-04-30;;60;762.92;Direct Debit;In Force;Not Churned;Not Churned;None;;0;152;9664;9664;152;1;21
28775;2025-12-31;Assiut;45;45-54;Married;124;0;1;Health;5;1606.47;1506.05;0.0836;1;67465.88;0.02381165;Annual;1;0;0;0;0;0;0;0;6580.47;0;0;0.8;32;1638;1;0;0;0;0;0;No churn;0.155896;Male;1980;Hairdresser;0;0;100028775;Protection & Savings - Graduation 10+;Graduation;2015-08-31;2020-08-31;;60;1606.47;Credit Card;In Force;Not Churned;Not Churned;None;;0;11;17671;17671;11;0;0
28776;2025-12-31;Red Sea;45;45-54;Single;57;0;1;Home;4;1004.23;866.99;0.1614;1;529524.94;0.00189648;Monthly;1;1;0;0;0;0;0;0;8279.94;0;0;0.75;12;516;3;0;0;0;0;0;No churn;0.499016;Female;1980;Actor/Dancer/Singer/other Entertainment jobs;0;0;100028776;Elite ELI;Single Premium;2021-03-31;2041-03-31;;240;1004.23;Direct Debit;In Force;Not Churned;Not Churned;Linked;5;2283;57;4770;4770;57;1;10
31311;2025-12-31;Matrouh;40;35-44;Single;173;1;3;Auto;3;941.85;978.94;	-0.018;0;31126.99;0.0302584;Monthly;1;2;0;0;0;0;0;0;1436.93;0;0;0.75;29;520;2;0;0;0;0;0;No churn;0.085747;Male;1985;Chef;0;0;100031311;Wedding Star;Wedding;2011-07-31;2021-07-31;;120;941.85;Direct Debit;In Force;Not Churned;Not Churned;None;;0;173;13578;13578;173;2;30
28777;2025-12-31;Luxor;84;75+;Single;13;0;1;Auto;7;1489.69;1297.55;0.183;2;23483.63;0.0634354;Annual;0;0;0;1;0;0;0;0;4899.73;0;0;0.75;22;727;2;0;0;0;0;0;No churn;0.614013;Female;1941;Clerk;0;1;100028777;Wedding_2000;Wedding;2024-11-30;2044-11-30;;240;1489.69;Premium Notice;In Force;Not Churned;Not Churned;Linked;15;0;2;2979;2979;2;0;0
28779;2025-12-31;Beni Suef;76;75+;Married;48;0;1;Health;12;1698.21;1531.3;0.0839;2;104538.07;0.01624486;Annual;1;1;0;0;1;1;0;0;1596.58;1596.58;1277.26;0.8;6;302;0;0;0;0;0;0;No churn;0.344198;Female;1949;Clerk;0;0;100028779;Dreams_2008;Dreams;2021-12-31;2041-12-31;;240;1698.21;Direct Debit;In Force;Not Churned;Not Churned;None;;0;4;6793;6793;4;1;17
28780;2025-12-31;Sharqia;21;18-24;Single;124;0;1;Life;5;916.78;911.02;0.0154;2;819536.3;0.00111866;Monthly;1;0;0;0;0;0;0;0;8089.83;0;0;0.85;21;957;2;0;0;1;0;0;No churn;0.309682;Male;2004;Carpenter;0;0;100028780;Protection & Savings - Dreams;Dreams;2015-08-31;2025-08-31;;120;916.78;Direct Debit;In Force;Not Churned;Not Churned;Linked;10;0;124;9473;9473;124;0;0
28782;2025-12-31;Minya;64;55-64;Married;109;0;1;Auto;1;1791.48;1979.23;	-0.0962;1;29943.22;0.0598292;Annual;0;0;0;0;0;0;0;0;3210;0;0;0.75;29;1227;2;0;0;0;0;0;No churn;0.099164;Male;1961;Traders;0;0;100028782;Graduation_2000;Graduation;2016-11-30;2026-11-30;;120;1791.48;Account Transfer;In Force;Not Churned;Not Churned;None;;0;10;17915;17915;10;0;0
28783;2025-12-31;South Sinai;63;55-64;Married;38;0;1;Travel;1;120;108.58;0.0994;2;23742.38;0.00505425;Annual;1;1;0;0;0;0;0;0;1011.87;0;0;0.75;20;1767;1;0;0;0;0;0;No churn;0.294428;Male;1962;Tour Guide/Tourism and Culture;0;0;100028783;Graduation Plus;Graduation;2022-10-31;2032-10-31;;120;120;ACH;Claimed;Not Churned;Not Churned;Linked;5;134;4;480;480;4;1;46
