id;customer_id;policy_number;from_fund;from_movement_value;to_fund;to_movement_value;switch_factor;authorised_date
1;11455;100011455;EGP AXA10;1500;Secure;1500;25;2025-01-23
2;35104;100035104;Money Market;3066;Growth;3066;100;2025-10-11
3;37566;100037566;Active;2873;EGX30 ETF;2873;100;2024-09-19
4;45887;100045887;Growth;1411;Gold;1411;50;2024-03-09
5;58;100000058;Conservative;2319;Al Safwa;2319;100;2025-08-08
6;73;100000073;Active;279;Equities;279;50;2024-08-11
7;92;100000092;Growth;1262;Dollar Saver;1262;50;2025-10-19
8;93;100000093;Al Safwa;2591;EGP AXA10;2591;100;2025-04-18
9;95;100000095;Diversified;1391;Al Safwa;1391;50;2025-11-11
10;9;100000009;Al Safwa;4848;USD Growth Saver;4848;75;2024-11-21
11;11;100000011;Al Safwa;940;Dollar Saver;940;50;2024-06-18
12;135;100000135;USD Growth Saver;3013;Growth;3013;50;2025-06-24
13;155;100000155;Equities;3774;Conservative;3774;75;2024-09-30
14;253;100000253;Sama;2469;Diversified;2469;100;2025-05-10
15;212;100000212;USD AXA9;2366;Gold;2366;25;2025-02-03
16;252;100000252;EGX30 ETF;801;Secure;801;75;2024-10-10
17;270;100000270;Secure;2905;Diversified;2905;100;2025-09-10
18;273;100000273;Dollar Saver;1421;Money Market;1421;25;2025-11-22
19;297;100000297;Growth;1404;Gold;1404;100;2024-05-01
20;325;100000325;USD AXA9;2012;Secure;2012;50;2024-05-28
21;336;100000336;Conservative;1184;Conservative;1184;25;2025-07-06
22;340;100000340;EGX30 ETF;2548;Money Market;2548;100;2025-05-17
23;365;100000365;Growth;1205;USD Growth Saver;1205;50;2024-10-14
24;392;100000392;Sama;7051;Gold;7051;25;2025-10-06
25;395;100000395;Sama;355;Active;355;75;2025-01-06
26;433;100000433;Dollar Saver;3817;Equities;3817;100;2024-05-17
27;475;100000475;Gold;1255;Al Safwa;1255;75;2024-05-14
28;494;100000494;USD AXA9;2277;Equities;2277;100;2025-01-26
29;506;100000506;Secure;3846;Gold;3846;100;2024-06-03
30;511;100000511;Gold;880;Equities;880;100;2025-10-05
31;512;100000512;Diversified;3631;Growth;3631;25;2025-02-22
32;522;100000522;Money Market;2233;Al Safwa;2233;100;2025-01-02
33;578;100000578;Growth;2293;EGX30 ETF;2293;75;2025-11-14
34;589;100000589;Equities;845;Gold;845;100;2024-04-09
35;633;100000633;Money Market;1634;Al Safwa;1634;50;2025-07-01
36;639;100000639;USD Growth Saver;1677;Conservative;1677;50;2024-12-09
37;675;100000675;Gold;1384;USD Growth Saver;1384;75;2025-04-10
38;708;100000708;Active;1420;Secure;1420;75;2025-10-18
39;716;100000716;Sama;3138;USD Growth Saver;3138;75;2025-08-08
40;726;100000726;EGP AXA10;1839;Secure;1839;75;2024-11-11
41;733;100000733;USD Growth Saver;4839;Active;4839;50;2024-12-15
42;739;100000739;Diversified;85;Conservative;85;100;2024-09-25
43;756;100000756;Gold;3464;Dollar Saver;3464;100;2024-10-26
44;775;100000775;Money Market;4462;Money Market;4462;75;2025-05-01
45;810;100000810;Al Safwa;2712;Sama;2712;50;2024-09-12
46;839;100000839;Secure;2866;EGP AXA10;2866;75;2025-05-28
47;892;100000892;Growth;550;Gold;550;75;2024-02-07
48;893;100000893;Conservative;863;EGX30 ETF;863;75;2025-03-14
49;952;100000952;Sama;2477;Secure;2477;75;2024-12-28
