id;customer_id;policy_number;alteration;request_date;effective_date
1760;5406;100005406;Reinstate ULS;2025-08-02;2025-08-19
1852;5712;100005712;Add Indexation;2024-08-09;2024-08-24
2617;8261;100008261;Change Payer;2024-07-06;2024-07-11
3368;10648;100010648;Reinstate ULS;2025-10-30;2025-11-05
3557;11216;100011216;Add Indexation;2024-04-22;2024-05-08
5641;17243;100017243;Change Address;2025-08-17;2025-08-22
8089;25331;100025331;Extend Term;2024-12-21;2025-01-06
8650;27043;100027043;Extend Term;2025-09-27;2025-10-07
9415;29667;100029667;Cancel Benefit;2024-02-06;2024-02-20
10164;31742;100031742;Cancel Benefit;2025-12-11;2025-12-13
10918;34152;100034152;Reinstate ULS;2024-08-28;2024-09-12
11294;35223;100035223;Add Indexation;2025-03-19;2025-03-29
12901;40512;100040512;Change Product;2024-04-14;2024-04-30
12993;40788;100040788;Edit Client Source;2025-01-06;2025-01-13
14409;45136;100045136;Change Payment Method;2025-10-05;2025-10-20
14883;46588;100046588;Add Indexation;2025-10-06;2025-10-18
16489;1641;100001641;Change Payer;2025-07-01;2025-07-11
18657;8460;100008460;Decrease Package;2024-08-18;2024-09-06
18846;9012;100009012;Extend Term;2025-09-16;2025-10-01
19616;11544;100011544;Change Product;2025-09-04;2025-09-06
19975;12691;100012691;Change Personal Information;2025-03-08;2025-03-17
20832;15650;100015650;Extend Term;2025-09-09;2025-09-12
21494;17770;100017770;Extend Term;2025-05-16;2025-05-23
21577;18020;100018020;Reinstate ULS;2024-03-12;2024-03-14
21762;18652;100018652;Add Indexation;2024-03-06;2024-03-25
22514;20951;100020951;Decrease Benefit Sum Insured;2024-04-24;2024-04-30
23086;22828;100022828;Change Address;2024-02-20;2024-03-05
23272;23372;100023372;Add Indexation;2025-09-27;2025-10-13
23364;23830;100023830;Resume Payments;2025-12-11;2025-12-19
24590;27673;100027673;Change Nominated Child & Term;2025-10-22;2025-10-22
24966;28769;100028769;Premium Cessation;2024-10-01;2024-10-19
25155;29301;100029301;Change Address;2025-06-08;2025-06-27
26101;32425;100032425;Reinstate ULS;2025-06-28;2025-07-06
26574;33886;100033886;Change Payer;2025-11-13;2025-11-20
29035;41159;100041159;Add Indexation;2025-06-10;2025-06-20
29320;42225;100042225;Reinstate ULS;2024-05-31;2024-06-07
29413;42592;100042592;Resume Payments;2024-09-28;2024-10-17
29603;43206;100043206;Change Payer;2024-04-09;2024-04-10
29791;44018;100044018;Extend Term;2025-01-15;2025-01-20
31497;49411;100049411;Change Index Type;2025-11-08;2025-11-26
1;4180;100004180;Suspend Premium Collection;2024-08-04;2024-08-12
2;4180;100004180;Increase ULS Term;2024-06-23;2024-07-08
3;4180;100004180;Change Index Type;2024-09-15;2024-10-01
4;11083;100011083;Increase Premium Without Sum insured Amount;2025-09-22;2025-10-08
5;11083;100011083;Change Bank Detail Information;2025-12-30;2026-01-01
6;11083;100011083;Change Client Name;2024-05-26;2024-05-26
