id;customer_id;policy_number;benefit_description;loading_value;benefit_sum_insured
1;1246;100001246;AI;0;5900
2;4180;100004180;GTPDB;25;361100
3;5119;100005119;GTPDB;0;155800
4;8155;100008155;ADI_S;0;3500
5;8910;100008910;EFB;0;15500
6;9617;100009617;FSI;75;66200
7;11083;100011083;FIB;0;25600
8;11455;100011455;GCIIB;0;311600
9;12178;100012178;ELI_P;0;13100
10;12746;100012746;WTD;0;8200
11;13214;100013214;TPD;0;328800
12;24732;100024732;AI;0;166500
13;26317;100026317;AI;0;629100
14;28026;100028026;EFB;0;9000
15;31161;100031161;CII;0;272400
16;35104;100035104;TPD;75;178900
17;37566;100037566;GDB;0;132900
18;42862;100042862;AI;0;321400
19;47852;100047852;ELI_P;0;10200
20;48834;100048834;GDB;50;21600
21;49607;100049607;CII;0;23900
22;781;100000781;ELI_P;0;10900
23;4053;100004053;AI;0;3300
24;5112;100005112;WOT;0;161200
25;5651;100005651;AI;0;201500
26;8175;100008175;GDB;0;209700
27;15260;100015260;ADI_S;0;7800
28;17063;100017063;TPD;0;152100
29;17414;100017414;ELI_C;0;14600
30;23493;100023493;ADI;0;188400
31;23856;100023856;FSI;0;10600
32;26433;100026433;WTD;0;78300
33;31934;100031934;WTD;0;166600
34;33108;100033108;WTD;0;27000
35;37578;100037578;AI;0;450300
36;42614;100042614;ELI_C;0;29600
37;45887;100045887;WOD;0;17900
38;47272;100047272;ADI;0;221100
39;47898;100047898;WOT;0;290300
40;13163;100013163;WOT;0;295100
41;23902;100023902;GCIIB;0;201000
42;42;100000042;ELI;0;296300
43;43;100000043;ADI_S;0;13900
44;44;100000044;ADI;0;117300
45;45;100000045;ELI_C;0;28700
46;46;100000046;CII;0;117900
47;49;100000049;FIB;0;76100
48;52;100000052;ADI_S;100;14800
49;53;100000053;WTD;0;325100
50;55;100000055;ADI_S;0;7900
51;56;100000056;ELI_C;0;82600
52;57;100000057;ADI_S;0;23400
53;58;100000058;WOT;0;17000
54;62;100000062;GCIIB;0;11000
55;63;100000063;ADI_S;0;565200
56;65;100000065;ELI_P;0;104000
57;67;100000067;ADI_S;0;4300
58;68;100000068;FIB;0;125600
59;69;100000069;ELI_C;0;8500
60;71;100000071;WOD;0;172600
61;72;100000072;AI;0;133700
62;73;100000073;CII;0;6200
63;74;100000074;ADI;0;166300
64;76;100000076;EFB;0;15300
65;77;100000077;CII;0;42400
66;79;100000079;GCIIB;50;5800
67;81;100000081;GDB;0;279100
68;83;100000083;GTPDB;0;403300
69;86;100000086;WTD;0;105100
70;89;100000089;ELI_C;0;164500
71;91;100000091;ADI_S;0;209700
72;92;100000092;FSI;0;11700
73;93;100000093;TPD;0;382500
74;95;100000095;EFB;0;18500
75;97;100000097;FIB;0;191500
76;98;100000098;WTD;0;54100
77;100;100000100;FSI;0;42600
